Country,FlagCode,OrgName,OrgFullName,OrgLogoUrl,Type,Category,StartYear,EndYear,Title,Description,SourceUrl,SourceDate,Status
European Union,EU,EU Horizon,European Union Horizon Europe Program,,Phase,Research,2026,2028,QARC Project Execution,Brno University of Technology coordinates EU Horizon QARC (Quantum-Resistant Cryptography in Practice) project focusing on hybrid schemes cryptographic agility and real-world PQC deployment pilots across EU eGovernment and cloud infrastructures.,https://www.vut.cz/,2026-01-01,New
Global,INT,IBM,International Business Machines Corporation,,Milestone,POC,2025,2025,Quantum Safe Explorer Launched,IBM launches Quantum Safe Explorer tool to help organizations scan source and object code to identify cryptographic assets dependencies and vulnerabilities creating a CBOM.,https://www.ibm.com/quantum/quantum-safe,2025-01-01,New
Global,INT,IBM,International Business Machines Corporation,,Milestone,POC,2025,2025,IBM Heron R2 Processor Available,IBM makes Heron R2 processor available with 156 qubits designed to enable more complex quantum circuits with low error rates facilitating quantum utility at scale.,https://www.ibm.com/quantum,2025-01-01,New
Global,INT,IBM,International Business Machines Corporation,,Milestone,Research,2025,2025,IBM Next-Gen Processor Development,IBM advances development of its next-generation modular quantum processor incorporating features for high-efficiency quantum error correction targeting early 2026 testing milestones.,https://www.ibm.com/quantum,2025-12-01,New
Global,INT,IBM,International Business Machines Corporation,,Milestone,POC,2026,2026,IBM Kookaburra Processor Released,IBM releases Kookaburra first modular 1386-qubit processor designed to store and process encoded information combining quantum memory with logic operations.,https://www.ibm.com/quantum,2026-01-01,New
Global,INT,IBM,International Business Machines Corporation,,Milestone,Research,2026,2026,IBM Quantum Advantage Target,IBM targets achieving and verifying quantum advantage demonstrating verifiable speed-ups over classical computing for meaningful tasks.,https://www.ibm.com/quantum,2026-12-01,New
Global,INT,Microsoft,Microsoft Corporation,,Milestone,Policy,2023,2023,Quantum Safe Program Launch,Microsoft formally launches Quantum Safe Program (QSP) to build quantum-safe future across all products and services.,https://www.microsoft.com/en-us/security/blog/,2023-01-01,New
Global,INT,Microsoft,Microsoft Corporation,,Milestone,Research,2025,2025,Majorana 1 Quantum Chip,Microsoft announces development of Majorana 1 quantum chip.,https://www.microsoft.com/,2025-02-01,New
Global,INT,Microsoft,Microsoft Corporation,,Milestone,Policy,2025,2025,Microsoft QSP Roadmap Published,Microsoft publishes comprehensive roadmap detailing progress toward next-generation cryptography and 2033 completion target.,https://www.microsoft.com/en-us/security/blog/,2025-08-20,New
Global,INT,Microsoft,Microsoft Corporation,,Phase,Migration,2026,2027,Core Infrastructure Transition,Microsoft accelerates QSP transition for core infrastructure including signing services and network services starting in 2026 with Windows Azure M365 integration beginning 2027.,https://www.microsoft.com/,2026-01-01,New
Global,INT,Microsoft,Microsoft Corporation,,Milestone,Policy,2029,2029,Early Quantum-Safe Adoption,Microsoft begins early adoption of quantum-safe capabilities across products and services with quantum-safe systems gradually becoming default.,https://www.microsoft.com/en-us/security/blog/,2025-08-20,New
Global,INT,Microsoft,Microsoft Corporation,,Milestone,Deadline,2033,2033,Microsoft Full PQC Transition,Microsoft completes full transition to quantum-ready cryptographic standards across all products and services. Two years ahead of 2035 government deadlines.,https://www.microsoft.com/en-us/security/blog/,2025-08-20,New
Global,INT,PQShield,PQShield Ltd,,Milestone,POC,2025,2025,UltraPQ-Suite Launched,PQShield launches UltraPQ-Suite collection of specialized PQC implementations including PQPlatform-TrustSys quantum-safe Root of Trust for ASIC/FPGA CNSA 2.0 compliance.,https://www.pqshield.com/,2025-04-01,New
Global,INT,PQShield,PQShield Ltd,,Milestone,Research,2025,2025,100th Research Paper Milestone,PQShield releases 100th research paper achieving 24 top-tier conference papers in 2025 including Distinguished Paper Award at CCS.,https://www.pqshield.com/,2025-10-01,New
Global,INT,PQShield,PQShield Ltd,,Milestone,Guidance,2025,2025,Carahsoft Government Partnership,PQShield partners with Carahsoft to make PQC solutions accessible to US government agencies.,https://www.pqshield.com/,2025-10-01,New
Global,INT,PQShield,PQShield Ltd,,Milestone,Research,2026,2026,Post-Quantum VPN Research Initiated,PQShield initiates new research into Post-Quantum VPNs and expands formal verification efforts for real-world FHE operations.,https://www.pqshield.com/,2026-01-01,New
United States,US,SandboxAQ,SandboxAQ Inc,,Milestone,POC,2025,2025,AQtive Guard Pentagon 5-Year Agreement,SandboxAQ secures five-year agreement with Department of Defense CIO (formerly referred to as Department of War CIO per late-2025 rebranding) to deploy AQtive Guard cybersecurity platform across Pentagon systems for automated cryptographic discovery inventory and managed PQC transition. Paves way for other DoD agencies.,https://www.sandboxaq.com/press/sandboxaq-and-dow-cio-partner-to-strengthen-us-defenses-against-quantum-and-ai-driven-cyber-threats,2025-12-01,Validated
United States,US,SandboxAQ,SandboxAQ Inc,,Milestone,Regulation,2025,2025,AQtive Guard FedRAMP Ready,SandboxAQ achieves FedRAMP Ready status for AQtive Guard platform providing standardized path for federal agencies to evaluate automated cryptographic discovery.,https://www.sandboxaq.com/,2025-12-01,New
United States,US,SandboxAQ/MITRE/LF,SandboxAQ MITRE and Linux Foundation PQCA,,Milestone,Guidance,2025,2025,RWPQC 2025 Conference,SandboxAQ MITRE and Linux Foundation PQCA co-host Real World Post Quantum Cryptography (RWPQC) 2025 conference.,https://www.sandboxaq.com/,2025-03-01,New
Global,INT,NXP/PQShield,NXP Semiconductors with PQShield,,Milestone,POC,2025,2025,Quantum-Safe Secure Element Pilot,NXP begins sampling secure-element pilot incorporating PQShield quantum-safe core in Q3 2025.,https://www.pqshield.com/,2025-09-01,New
Australia,AU,ASD,Australian Signals Directorate,,Milestone,Guidance,2022,2022,Initial PQC Planning Guide,ASD publishes initial Planning for Post-Quantum Cryptography guidance.,https://www.cyber.gov.au/business-government/secure-design/planning-for-post-quantum-cryptography,2022-07-01,Validated
Australia,AU,ASD,Australian Signals Directorate,,Milestone,Guidance,2024,2024,ISM December 2024 Update,"ASD updates ISM with specific PQC requirements (ISM-1917) including ML-DSA-87, ML-KEM-1024, SHA-384/512, AES-256 by 2030.",https://www.cyber.gov.au/sites/default/files/2024-12/22.%20ISM%20-%20Guidelines%20for%20Cryptography%20(December%202024).pdf,2024-12-01,Validated
Australia,AU,ASD,Australian Signals Directorate,,Phase,Discovery,2024,2026,Migration Planning Phase,"Organizations develop refined PQC transition plan accounting for security goals, risk tolerances, and data value.",https://www.cyber.gov.au/business-government/secure-design/planning-for-post-quantum-cryptography,2025-09-01,Validated
Australia,AU,ASD,Australian Signals Directorate,,Milestone,Guidance,2025,2025,PQC Planning Guide Updated,ASD publishes updated Planning for PQC guidance with LATICE framework and detailed milestones.,https://www.cyber.gov.au/business-government/secure-design/planning-for-post-quantum-cryptography,2025-09-01,Validated
Australia,AU,ASD,Australian Signals Directorate,,Phase,Migration,2026,2028,Critical Systems Migration Start,Implementation of PQC algorithms begins with most critical and sensitive systems.,https://www.cyber.gov.au/business-government/secure-design/planning-for-post-quantum-cryptography,2025-09-01,Validated
Australia,AU,ASD,Australian Signals Directorate,,Phase,Migration,2028,2030,Full Migration Phase,Complete transition to ASD-approved PQC algorithms across all systems.,https://www.cyber.gov.au/business-government/secure-design/planning-for-post-quantum-cryptography,2025-09-01,Validated
Australia,AU,ASD,Australian Signals Directorate,,Milestone,Deadline,2030,2030,Traditional Crypto Prohibited,"Cease use of traditional asymmetric cryptography (RSA, ECDSA, ECDH). Full transition to PQC. 5 years ahead of US/UK.",https://www.cyber.gov.au/business-government/secure-design/planning-for-post-quantum-cryptography,2025-09-01,Validated
International,INT,BIS,Bank for International Settlements,,Milestone,Guidance,2025,2025,Paper 158 Quantum Roadmap,BIS publishes Paper 158: Quantum-Readiness Roadmap for financial systems. Critical systems quantum-safe by early 2030s.,https://www.bis.org/publ/bppdf/bispap158.htm,2025-07-01,New
Canada,CA,CCCS,Canadian Centre for Cyber Security,,Milestone,Guidance,2023,2023,PQC Best Practices Published,CFDIR publishes Canadian National Quantum-Readiness Best Practices and Guidelines.,https://ised-isde.canada.ca/site/spectrum-management-telecommunications/sites/default/files/attachments/2023/cfdir-quantum-readiness-best-practices-v03.pdf,2023-06-12,Validated
Canada,CA,CCCS,Canadian Centre for Cyber Security,,Milestone,Guidance,2025,2025,PQC Migration Roadmap Published,CCCS publishes ITSM.40.001 Roadmap for migration to PQC for Government of Canada. Effective June 23 2025.,https://www.cyber.gc.ca/en/guidance/roadmap-migration-post-quantum-cryptography-government-canada-itsm40001,2025-06-23,Validated
Canada,CA,TBS,Treasury Board of Canada Secretariat,,Milestone,Policy,2025,2025,SPIN Notice Published,"Security Policy Implementation Notice on PQC migration effective October 9, 2025 under Policy on Government Security.",https://www.canada.ca/en/government/system/digital-government/policies-standards/spin/migrating-government-canada-post-quantum-cryptography.html,2025-10-09,Validated
Canada,CA,CCCS,Canadian Centre for Cyber Security,,Phase,Discovery,2025,2026,Departmental Planning Phase,Federal departments develop initial departmental PQC migration plans. Due by April 2026.,https://www.cyber.gc.ca/en/guidance/roadmap-migration-post-quantum-cryptography-government-canada-itsm40001,2025-06-23,Validated
Canada,CA,CCCS,Canadian Centre for Cyber Security,,Milestone,Deadline,2026,2026,Departmental PQC Migration Plans Due,Federal departments must develop and submit initial PQC migration plans to CCCS by April 2026 with annual progress reporting thereafter. New IT procurements should include PQC vendor support clauses as an ongoing obligation under the roadmap.,https://www.cyber.gc.ca/en/guidance/roadmap-migration-post-quantum-cryptography-government-canada-itsm40001,2025-06-23,Validated
Canada,CA,CCCS,Canadian Centre for Cyber Security,,Phase,Migration,2026,2031,High Priority Migration Phase,Migration of high priority government systems. Annual progress reporting required.,https://www.cyber.gc.ca/en/guidance/roadmap-migration-post-quantum-cryptography-government-canada-itsm40001,2025-06-23,Validated
Canada,CA,CCCS,Canadian Centre for Cyber Security,,Milestone,Deadline,2031,2031,High Priority Systems Complete,Completion of PQC migration for high priority government systems.,https://www.cyber.gc.ca/en/guidance/roadmap-migration-post-quantum-cryptography-government-canada-itsm40001,2025-06-23,Validated
Canada,CA,CCCS,Canadian Centre for Cyber Security,,Phase,Migration,2031,2035,Remaining Systems Migration,Migration of all remaining non-classified government systems.,https://www.cyber.gc.ca/en/guidance/roadmap-migration-post-quantum-cryptography-government-canada-itsm40001,2025-06-23,Validated
Canada,CA,CCCS,Canadian Centre for Cyber Security,,Milestone,Deadline,2035,2035,Full GC Migration Complete,Completion of PQC migration for all Government of Canada non-classified systems.,https://www.cyber.gc.ca/en/guidance/roadmap-migration-post-quantum-cryptography-government-canada-itsm40001,2025-06-23,Validated
China,CN,CACR,Chinese Association for Cryptologic Research,,Milestone,Standardization,2020,2020,CACR PQC Competition Results,CACR announces results of its post-quantum cryptography competition selecting initial algorithms (36 submissions).,https://www.sdxcentral.com/articles/analysis/china-russia-to-adopt-slightly-different-pqc-standards-from-us/2022/10/,2020-01-01,Validated
China,CN,ICCS,Institute of Commercial Cryptography Standards,,Milestone,Standardization,2025,2025,NGCC Program Launched,"China launches Next-Generation Commercial Cryptographic (NGCC) Algorithms Program for PQC standardization. Source article published February 18, 2025; program launch date per cited article.",https://thequantuminsider.com/2025/02/18/china-launches-its-own-quantum-resistant-encryption-standard-bypassing-us-efforts/,2025-02-18,Validated
China,CN,China Telecom,China Telecom Quantum Group,,Milestone,Migration,2025,2025,Hybrid Quantum-Safe System Launched,"China Telecom launches world's first distributed cryptography system combining QKD and PQC. Demonstrates quantum-encrypted communications across a 1,000km+ multi-city network spanning 16 cities (not the direct Beijing-Hefei distance of ~370km). Network includes Beijing-Hefei link.",https://thequantuminsider.com/2025/05/20/china-telecom-launches-hybrid-quantum-safe-encryption-system-completes-1000-kilometer-secure-call/,2025-05-20,New
China,CN,CAC,Cyberspace Administration of China,,Phase,Research,2025,2027,NGCC Algorithm Evaluation,"NGCC program evaluates submitted algorithms for security, performance, and implementation feasibility.",https://thequantuminsider.com/2025/02/18/china-launches-its-own-quantum-resistant-encryption-standard-bypassing-us-efforts/,2025-02-18,Validated
China,CN,CAC,Cyberspace Administration of China,,Phase,Migration,2027,2030,Financial Sector Migration,Mandated migration for critical financial infrastructure to quantum-safe cryptography.,https://www.belfercenter.org/publication/quantum-computing-and-cybersecurity-china,2023-01-01,Validated
Czech Republic,CZ,NUKIB,National Cyber and Information Security Agency,,Milestone,Guidance,2023,2023,Cryptographic Recommendations,NUKIB publishes Minimum Requirements for cryptographic algorithms with PQC guidance.,https://www.nukib.cz/en/,2023-01-01,Validated
Czech Republic,CZ,NUKIB,National Cyber and Information Security Agency,,Phase,Migration,2024,2027,Key Establishment Migration,Migration for key establishment and encryption systems.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2023-01-01,Validated
Czech Republic,CZ,NUKIB,National Cyber and Information Security Agency,,Milestone,Deadline,2027,2027,Encryption Migration Complete,Complete migration by 2027 for key establishment and encryption. Firmware/software signing as soon as possible.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2023-01-01,Validated
European Union,EU,ENISA,European Union Agency for Cybersecurity,,Milestone,Guidance,2022,2022,PQC Integration Study,ENISA publishes Post-Quantum Cryptography: Integration Study examining technology landscape.,https://www.enisa.europa.eu/publications/post-quantum-cryptography-integration-study,2022-10-18,Validated
European Union,EU,EC,European Commission,,Milestone,Policy,2024,2024,EU PQC Recommendation Published,European Commission publishes Recommendation (EU) 2024/1101 on Coordinated Implementation Roadmap for PQC transition.,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,2024-04-11,Validated
European Union,EU,EC,European Commission,,Phase,Migration,2024,2030,Critical Infrastructure Migration,Migration of critical infrastructure and high-risk systems to quantum-safe cryptography.,https://digital-strategy.ec.europa.eu/en/library/coordinated-implementation-roadmap-transition-post-quantum-cryptography,2024-04-11,Validated
European Union,EU,NIS CG,NIS Cooperation Group,,Milestone,Guidance,2025,2025,Coordinated Roadmap v1.1,NIS Cooperation Group publishes Coordinated Implementation Roadmap for PQC Transition Version 1.1.,https://digital-strategy.ec.europa.eu/en/library/coordinated-implementation-roadmap-transition-post-quantum-cryptography,2025-06-01,New
European Union,EU,Europol,European Union Agency for Law Enforcement Cooperation,,Milestone,Guidance,2025,2025,QSFF Call to Action,Europol Quantum Safe Financial Forum publishes call to action. Notes 86% of executives unprepared.,https://www.europol.europa.eu/publications-events/publications/quantum-safe-financial-forum-call-to-action,2025-02-07,New
European Union,EU,NIS CG,NIS Cooperation Group,,Milestone,Policy,2025,2025,EU PQC Survey Launched,"NIS Cooperation Group PQC Work Stream launches public survey to gather feedback on Coordinated Implementation Roadmap. Feedback deadline September 29, 2025.",https://digital-strategy.ec.europa.eu/en/news/survey-eu-roadmap-post-quantum-cryptography,2025-08-11,New
European Union,EU,ECCG,European Cybersecurity Certification Group,,Milestone,Guidance,2025,2025,Agreed Cryptographic Algorithms v2,ECCG publishes Agreed Cryptographic Algorithms version 2 (May 2025) with PQC guidance. Recommends PQ/T hybrid schemes and adjusted symmetric key lengths.,https://pqshield.com/pqc-transition-roadmaps-and-guidance/,2025-05-01,New
