question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
compliance-strategy-learn-001,compliance-strategy,Compliance & Regulatory Strategy,What are the five major PQC compliance frameworks mentioned in the module overview?,"The five major frameworks are CNSA 2.0 (NSA), NIST IR 8547, ETSI (European standards), ANSSI (French national agency), and BSI (German federal office). These represent key regulatory bodies guiding Post-Quantum Cryptography adoption across different regions.",learn,recall,executive;architect,beginner,Global,General,NIST IR 8547,,,,,,ANSSI;BSI;ETSI;NIST;NSA,/library?ref=NIST%20IR%208547;/learn/compliance-strategy,library_ref:NIST IR 8547 EXISTS|compliance_ref:ANSSI EXISTS|compliance_ref:BSI EXISTS|compliance_ref:ETSI EXISTS|compliance_ref:NIST EXISTS|compliance_ref:NSA EXISTS,RAG Summary: Key Concepts - Major PQC Compliance Frameworks
compliance-strategy-learn-002,compliance-strategy,Compliance & Regulatory Strategy,What is the specific deadline for exclusive software and firmware signing under CNSA 2.0?,"Under CNSA 2.0, the preferred date for software and firmware signing is 2025, with an exclusive requirement by 2030. This timeline mandates that all National Security Systems (NSS) must transition to these standards within this window.",learn,recall,executive;developer,beginner,USA,Government;Defense,,,,,,,,/learn/compliance-strategy,,RAG Summary: Key Concepts - CNSA 2.0 Timeline
compliance-strategy-learn-003,compliance-strategy,Compliance & Regulatory Strategy,How many items and categories are included in the Audit Readiness checklist?,"The Audit Readiness checklist consists of 25 evidence items distributed across 5 distinct categories. These categories cover cryptographic inventory, policy & governance, technical controls, vendor management, and evidence & documentation.",learn,recall,ops;architect,beginner,Global,General,,,,,,,,/learn/compliance-strategy,,RAG Summary: Key Concepts - Audit Readiness
compliance-strategy-learn-004,compliance-strategy,Compliance & Regulatory Strategy,What is the primary difference between a 'Compliance-First' and a 'Risk-First' strategy?,"A Compliance-First strategy is driven by regulatory deadlines to ensure certification, whereas a Risk-First strategy is driven by threat assessments to prioritize the highest-risk systems. Executives must choose based on whether their primary goal is meeting legal mandates or mitigating immediate security threats.",learn,comprehension,executive;architect,beginner,Global,General,,,,,,,,/learn/compliance-strategy,,RAG Summary: Key Concepts - Compliance-First vs. Risk-First Strategy
compliance-strategy-workshop-005,compliance-strategy,Compliance & Regulatory Strategy,How does the Jurisdiction Mapper tool assist organizations operating in multiple regions?,"The Jurisdiction Mapper allows users to select from 24 jurisdictions across four regions to identify applicable frameworks, earliest deadlines, and cross-jurisdiction conflicts. It automatically detects issues like deadline divergence greater than three years or algorithm preference conflicts between hybrid and pure PQC.",workshop,comprehension,executive;architect,beginner,Global,General,,,,,,,,/learn/compliance-strategy,,RAG Summary: Key Concepts - Jurisdiction Mapping; Workshop Steps
compliance-strategy-learn-006,compliance-strategy,Compliance & Regulatory Strategy,Why is China's algorithm ecosystem considered a specific conflict in multi-jurisdiction compliance?,"China presents a divergent algorithm ecosystem using OSCCA and NGCC standards, which conflicts with the hybrid or pure PQC algorithms preferred by Western frameworks like NIST and ETSI. This divergence creates significant complexity for organizations operating across borders that must support incompatible cryptographic suites.",learn,comprehension,architect;developer,intermediate,APAC;Global,General,,,China,,,,ETSI;NIST,/timeline?country=China;/learn/compliance-strategy,compliance_ref:ETSI EXISTS|compliance_ref:NIST EXISTS,RAG Summary: Key Concepts - Conflict Detection
compliance-strategy-both-007,compliance-strategy,Compliance & Regulatory Strategy,"If a financial institution operates in the US, EU, and Singapore, what is the earliest binding deadline they must consider based on the module's country-specific data?","Based on the provided data, the UK NCSC has a 3-phase plan starting in 2025, Israel requires assessments by end of 2025, and DORA (EU financial resilience) begins in Jan 2025. While CNSA 2.0 targets 2030 for NSS, the earliest binding deadlines for financial sectors often align with the EU's DORA or UK/Israel timelines starting in 2025.",both,application,executive;architect,intermediate,USA;EU;APAC,Financial Services,,,Israel;Singapore,,,,DORA,/timeline?country=Israel;/timeline?country=Singapore;/learn/compliance-strategy,compliance_ref:DORA EXISTS,RAG Summary: Key Concepts - Country-Specific Deadlines; Compliance Dependencies
compliance-strategy-both-008,compliance-strategy,Compliance & Regulatory Strategy,A government contractor supplying software to the US DoD needs an audit readiness checklist. Which five categories must be covered?,"The checklist must cover cryptographic inventory, policy & governance, technical controls, vendor management, and evidence & documentation. Each category contains specific items that auditors will verify to ensure compliance with standards like CMMC Level 3 and CNSA 2.0.",both,application,ops;architect,intermediate,USA,Government;Defense,,,,,,,CMMC,/learn/compliance-strategy,compliance_ref:CMMC EXISTS,RAG Summary: Key Concepts - Audit Readiness; Module Content Scenarios
compliance-strategy-both-009,compliance-strategy,Compliance & Regulatory Strategy,How should a hospital network with 30-year patient record retention plan its compliance timeline regarding NIST's RSA/ECC deprecation?,"The hospital must build a timeline that includes assessment, hybrid deployment, and full PQC migration phases before the 2030 NIST deprecation deadline. They must specifically analyze where the 'Harvest Now, Decrypt Later' (HNDL) risk window overlaps with these compliance deadlines to ensure long-term data confidentiality.",both,application,architect;executive,intermediate,USA,Healthcare,,,,,,,NIST,/learn/compliance-strategy,compliance_ref:NIST EXISTS,Module Content Scenarios - Healthcare PQC Compliance Timeline
compliance-strategy-both-010,compliance-strategy,Compliance & Regulatory Strategy,Synthesize the impact of FIPS 140-3 validation backlogs and eIDAS 2.0 on a global compliance strategy.,"Organizations must account for FIPS 140-3/CMVP validation backlogs which may delay US federal compliance, while simultaneously preparing for eIDAS 2.0 mandatory digital wallets by Dec 2026 in the EU. A successful strategy requires parallel tracking of these distinct dependency timelines to avoid gaps in certification and market access.",both,synthesis,executive;architect,advanced,USA;EU,General,,,,,,,,/learn/compliance-strategy,,RAG Summary: Key Concepts - Compliance Dependencies
compliance-strategy-both-011,compliance-strategy,Compliance & Regulatory Strategy,How does the 'Compliance Timeline Builder' help resolve conflicts between organizational milestones and regulatory deadlines?,"The tool overlays external framework deadlines with internal organizational milestones to perform a gap analysis. It visually indicates which deadlines are completed, on-track, or at-risk, allowing executives to reallocate resources before missing critical regulatory windows.",both,synthesis,executive;ops,intermediate,Global,General,,,,,,,,/learn/compliance-strategy,,RAG Summary: Key Concepts - Compliance Timeline; Workshop Steps
compliance-strategy-both-012,compliance-strategy,Compliance & Regulatory Strategy,Analyze the strategic implications of the G7 CEG financial sector deadline (2034) versus the EU Coordinated Roadmap (2030/2035).,"The divergence between the G7 CEG 2034 target and the EU's 2030/2035 roadmap suggests a staggered global adoption curve for financial institutions. Companies must prioritize the earlier EU deadlines to maintain market access in Europe while preparing for the later G7 consensus, potentially requiring dual-track migration strategies.",both,synthesis,executive;architect,advanced,Global,Financial Services,,,,,,,,/learn/compliance-strategy,,RAG Summary: Key Concepts - Country-Specific Deadlines
