question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
email-signing-learn-001,email-signing,Email & Document Signing,Which RFC defines the foundational Cryptographic Message Syntax (CMS) format used for signing and encrypting data in S/MIME?,"RFC 5652 defines the Cryptographic Message Syntax (CMS), which serves as the foundational format for digitally signing and encrypting arbitrary data. This standard powers S/MIME email security, code signing, PDF signatures, firmware updates, and eIDAS signatures.",learn,recall,developer;architect,beginner;intermediate,Global,General,RFC 5652,,,,,,,/library?ref=RFC%205652;/learn/email-signing,library_ref:RFC 5652 EXISTS,RAG Summary: Overview; Key Concepts
email-signing-learn-002,email-signing,Email & Document Signing,What are the specific NIST FIPS standards that standardized ML-DSA and ML-KEM for post-quantum cryptography?,"ML-DSA is standardized under FIPS 204, while ML-KEM is standardized under FIPS 203. These standards define the approved algorithms for protecting sensitive unclassified information in federal systems against quantum threats.",learn,recall,researcher;architect,intermediate;advanced,USA;Global,Government;General,FIPS 203;FIPS 204,,,,KEM,,NIST,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/algorithms?highlight=KEM;/learn/email-signing,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,"Authoritative Source Context: FIPS 203, FIPS 204"
email-signing-learn-003,email-signing,Email & Document Signing,Which RFC specifies the use of KEMRecipientInfo to enable Key Encapsulation Mechanism-based encryption in CMS?,RFC 9629 specifies the use of KEMRecipientInfo to bridge the gap between NIST's KEM primitives and CMS encryption workflows. This standard replaces classical key transport methods with KEM encapsulation for post-quantum security.,learn,recall,developer;ops,intermediate,Global,General,RFC 9629,,,,KEM,,NIST,/library?ref=RFC%209629;/algorithms?highlight=KEM;/learn/email-signing,library_ref:RFC 9629 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,RAG Summary: Key Concepts; Authoritative Source Context: RFC 9629
email-signing-learn-004,email-signing,Email & Document Signing,How does the encryption workflow in PQC-enabled S/MIME differ from classical RSA key transport?,"Classical S/MIME uses RSA key transport to directly encrypt the content-encryption key (CEK) with the recipient's public key, which is vulnerable to Shor's algorithm. In contrast, PQC workflows use KEM encapsulation to derive a shared secret, then apply HKDF to generate a key-wrap key for AES-WRAPping the CEK.",learn,comprehension,architect;developer,intermediate;advanced,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/email-signing,algorithm:KEM IN algorithms_csv,RAG Summary: Key Concepts
email-signing-learn-005,email-signing,Email & Document Signing,Why are separate key pairs typically required for S/MIME signing and encryption in a PQC migration?,"Separate key pairs are required because signing certificates utilize algorithms like ML-DSA with specific keyUsage extensions (digitalSignature), while encryption certificates use KEMs like ML-KEM with different requirements. The distinct cryptographic primitives and certificate attributes necessitate separate keys for each function.",learn,comprehension,architect;ops,intermediate,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/email-signing,algorithm:KEM IN algorithms_csv,RAG Summary: Key Concepts
email-signing-learn-006,email-signing,Email & Document Signing,What is the primary reason that migrating S/MIME to PQC is more challenging than upgrading TLS?,"Migrating S/MIME requires bidirectional compatibility, meaning both the sender and recipient must support the same algorithms simultaneously. Unlike TLS, where a server can upgrade unilaterally, email security depends on the intersection of capabilities between two independent endpoints.",learn,comprehension,executive;architect,intermediate;advanced,Global,General,,,,,,,,/learn/email-signing,,RAG Summary: Key Concepts; Curious Summary
email-signing-both-007,email-signing,Email & Document Signing,"If an organization wants to sign emails using ML-DSA-65, what specific keyUsage and extKeyUsage extensions must be present in the certificate?","The certificate must include keyUsage set to 'digitalSignature' or 'nonRepudiation' and extKeyUsage set to 'id-kp-emailProtection'. Additionally, the subjectAltName must contain an rfc822Name to identify the email address.",both,application,developer;ops,intermediate;advanced,Global,General,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/email-signing,algorithm:ML-DSA-65 IN algorithms_csv,RAG Summary: Key Concepts
email-signing-both-008,email-signing,Email & Document Signing,How should an email gateway handle a signed message containing an ML-DSA signature if it only supports classical ECDSA verification?,"The gateway will likely fail to verify the signature because it does not understand the PQC-signed CMS structure or the ML-DSA algorithm OID. To maintain compatibility, the gateway must be upgraded to support RFC 9882 and the specific ASN.1 structures for ML-DSA signatures.",both,application,ops;architect,advanced,Global,General,RFC 9882,,,,,,,/library?ref=RFC%209882;/learn/email-signing,library_ref:RFC 9882 EXISTS,RAG Summary: Key Concepts
email-signing-both-009,email-signing,Email & Document Signing,An architect needs to estimate the storage impact of migrating a signed email from ECDSA P-256 to ML-DSA-65. What is the approximate size increase?,"The signature size increases from approximately 72 bytes for ECDSA P-256 to about 3.3 KB for ML-DSA-65. When including certificate chains, the total signed email size can grow by an additional 10-15 KB compared to classical signatures.",both,application,architect;ops,intermediate;advanced,Global,General,,,,,ECDSA P-256;ML-DSA-65,,,/algorithms?highlight=ECDSA%20P-256;/algorithms?highlight=ML-DSA-65;/learn/email-signing,algorithm:ECDSA P-256 IN algorithms_csv|algorithm:ML-DSA-65 IN algorithms_csv,RAG Summary: Key Concepts
email-signing-both-010,email-signing,Email & Document Signing,How does the transition from RSA key transport to KEM-based encryption impact the long-term archival of encrypted emails?,"Archival systems must be updated to understand the new KEMRecipientInfo structures defined in RFC 9629, as classical parsers cannot decrypt messages using PQC KEMs. Long-term validation requires ensuring that future decryption tools support the specific ML-KEM parameter sets used at the time of encryption.",both,synthesis,architect;executive,advanced,Global,General,RFC 9629,,,,KEM,,,/library?ref=RFC%209629;/algorithms?highlight=KEM;/learn/email-signing,library_ref:RFC 9629 EXISTS|algorithm:KEM IN algorithms_csv,RAG Summary: Key Concepts
