question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
api-security-jwt-learn-001,api-security-jwt,API Security & JWT,Which NIST FIPS standard defines the ML-DSA algorithm used for post-quantum JWT signing?,The ML-DSA algorithm is defined in FIPS 204. This standard approves ML-DSA for protecting sensitive unclassified information in federal systems and serves as the basis for replacing classical signature algorithms like RS256 and ES256 in JWTs.,learn,recall,developer;architect;researcher,beginner;intermediate,Global,General,FIPS 204,,,,,,NIST,/library?ref=FIPS%20204;/learn/api-security-jwt,library_ref:FIPS 204 EXISTS|compliance_ref:NIST EXISTS,"RAG Summary, Authoritative Source Context (FIPS 204)"
api-security-jwt-learn-002,api-security-jwt,API Security & JWT,What is the specific NIST FIPS standard that standardizes the ML-KEM algorithm for key encapsulation?,ML-KEM is standardized under FIPS 203. This specification defines the quantum-resistant key encapsulation mechanism used to replace classical ECDH-ES in JWE encryption scenarios.,learn,recall,developer;architect,beginner;intermediate,Global,General,FIPS 203,,,,KEM,,NIST,/library?ref=FIPS%20203;/algorithms?highlight=KEM;/learn/api-security-jwt,library_ref:FIPS 203 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,"RAG Summary, Authoritative Source Context (FIPS 203)"
api-security-jwt-learn-003,api-security-jwt,API Security & JWT,Which IETF draft specifies the new algorithm identifiers for PQC algorithms within the JOSE framework?,The IETF draft-ietf-jose-pqc defines the new algorithm values required to integrate ML-DSA and ML-KEM into JWS and JWE specifications. This draft enables the migration of JWT infrastructure to post-quantum cryptography.,learn,recall,developer;architect;researcher,intermediate,Global,General,,,,,KEM,,IETF,/algorithms?highlight=KEM;/learn/api-security-jwt,algorithm:KEM IN algorithms_csv|compliance_ref:IETF EXISTS,"RAG Summary, Authoritative Source Context (draft-ietf-jose-pqc-kem)"
api-security-jwt-learn-004,api-security-jwt,API Security & JWT,What are the three main components of a JWT's compact serialization format?,"A JWT consists of three base64url-encoded parts: the header, the payload, and the signature. These components form the standard structure defined in RFC 7519 for JSON Web Tokens.",learn,recall,developer;curious,beginner,Global,General,RFC 7519,,,,,,,/library?ref=RFC%207519;/learn/api-security-jwt,library_ref:RFC 7519 EXISTS,"RAG Summary, Learn Section 1"
api-security-jwt-learn-005,api-security-jwt,API Security & JWT,Which classical JWT signing algorithms are vulnerable to Shor's algorithm on a quantum computer?,"RS256 (RSA), ES256 (ECDSA P-256), and EdDSA (Ed25519) are all vulnerable because they rely on mathematical problems that Shor's algorithm can solve efficiently. Consequently, these algorithms cannot protect against future quantum attacks.",learn,recall,developer;architect;security,intermediate,Global,General,,,,,ECDSA P-256;Ed25519,,,/algorithms?highlight=ECDSA%20P-256;/algorithms?highlight=Ed25519;/learn/api-security-jwt,algorithm:ECDSA P-256 IN algorithms_csv|algorithm:Ed25519 IN algorithms_csv,"RAG Summary, Curious Summary"
api-security-jwt-learn-006,api-security-jwt,API Security & JWT,What is the signature size in bytes for the ML-DSA-65 algorithm?,"The ML-DSA-65 algorithm produces a signature size of 3,309 bytes. This is significantly larger than classical signatures and is recommended for general use at NIST Security Level 3.",learn,recall,developer;ops,intermediate,Global,General,,,,,ML-DSA-65,,NIST,/algorithms?highlight=ML-DSA-65;/learn/api-security-jwt,algorithm:ML-DSA-65 IN algorithms_csv|compliance_ref:NIST EXISTS,RAG Summary
api-security-jwt-learn-007,api-security-jwt,API Security & JWT,How does the 'Harvest-now-decrypt-later' (HNDL) attack specifically threaten JWT infrastructure?,"In an HNDL attack, adversaries capture signed JWTs today and store them for future decryption or forgery once quantum computers become available. This is particularly dangerous for long-lived tokens like refresh tokens or ID tokens with extended expiration dates.",learn,comprehension,architect;executive;security,intermediate,Global,General,,,,,,,,/learn/api-security-jwt,,"RAG Summary, Curious Summary"
api-security-jwt-learn-008,api-security-jwt,API Security & JWT,Why are HMAC-based algorithms like HS256 considered quantum-safe despite the vulnerability of other JWT algorithms?,"HMAC-based algorithms remain quantum-safe because they rely on shared secrets rather than public-key cryptography problems that Shor's algorithm can break. However, their security depends entirely on the secure distribution and management of these shared secrets.",learn,comprehension,developer;architect,intermediate,Global,General,,,,,,,,/learn/api-security-jwt,,RAG Summary
api-security-jwt-learn-009,api-security-jwt,API Security & JWT,What is the primary mechanism by which ML-KEM replaces ECDH-ES in JWE encryption?,"ML-KEM replaces the Diffie-Hellman key exchange with a Key Encapsulation Mechanism (KEM). It uses ML-KEM.Encaps to produce a ciphertext and a shared secret, which is then processed via HKDF to derive the Content Encryption Key.",learn,comprehension,developer;architect,intermediate,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/api-security-jwt,algorithm:KEM IN algorithms_csv,"RAG Summary, Learn Section 4"
api-security-jwt-learn-010,api-security-jwt,API Security & JWT,How does the JOSE framework's design facilitate the migration to post-quantum algorithms?,"The JOSE framework is designed for algorithm agility, meaning only the 'alg' field in the header needs to change (e.g., from ES256 to ML-DSA-65) to switch cryptographic primitives. This allows systems to adopt PQC without altering the fundamental token structure.",learn,comprehension,architect;developer,intermediate,Global,General,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/api-security-jwt,algorithm:ML-DSA-65 IN algorithms_csv,"RAG Summary, Curious Summary"
api-security-jwt-learn-011,api-security-jwt,API Security & JWT,What is the approximate size increase factor when migrating from an ES256 signature to an ML-DSA-65 signature in a JWT?,"Migrating from ES256 to ML-DSA-65 results in a signature size increase of approximately 51 times, growing from 64 bytes to 3,309 bytes. This massive increase impacts the total token size, which can reach ~4.7 KB for an ML-DSA-65 JWT.",learn,comprehension,architect;ops;developer,intermediate,Global,General,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/api-security-jwt,algorithm:ML-DSA-65 IN algorithms_csv,"RAG Summary, Curious Summary"
api-security-jwt-both-012,api-security-jwt,API Security & JWT,"If an organization uses DPoP (Demonstrating Proof of Possession) with two PQC JWTs, what infrastructure limitation might they encounter?","Using two PQC JWTs for DPoP proofs could cause the total payload to exceed standard HTTP header limits, which are often capped at 8 KB. This necessitates architectural changes to handle larger token sizes in API gateways and proxies.",both,application,architect;ops;developer,advanced,Global,General,,,,,,,,/learn/api-security-jwt,,RAG Summary
api-security-jwt-both-013,api-security-jwt,API Security & JWT,How should an engineer configure a JWT signing service to support NIST Security Level 3 compliance using PQC?,"To achieve NIST Security Level 3, the engineer must configure the signing service to use the ML-DSA-65 algorithm. This algorithm provides the recommended security level for general use with a signature size of 3,309 bytes.",both,application,developer;architect,intermediate;advanced,USA;Global,General,,,,,ML-DSA-65,,NIST,/algorithms?highlight=ML-DSA-65;/learn/api-security-jwt,algorithm:ML-DSA-65 IN algorithms_csv|compliance_ref:NIST EXISTS,"RAG Summary, Authoritative Source Context (FIPS 204)"
