question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
5g-security-learn-001,5g-security,5G Security,Which 3GPP specification defines the 5G security architecture including SUCI concealment and 5G-AKA?,"The 5G security architecture is defined by 3GPP TS 33.501. This standard covers the three pillars of subscriber privacy via SUCI, mutual authentication through 5G-AKA, and SIM key provisioning.",learn,recall,architect;developer;researcher,beginner;intermediate,Global,Telecommunications,3GPP TS 33.501,,,,,,,/library?ref=3GPP%20TS%2033.501;/learn/5g-security,library_ref:3GPP TS 33.501 EXISTS,"Module Description, Key Concepts"
5g-security-learn-002,5g-security,5G Security,What are the three classical and post-quantum concealment profiles defined for SUCI in the module?,"The module defines Profile A using X25519, Profile B using P-256, and Profile C using ML-KEM (Kyber). Profiles A and B rely on elliptic curve cryptography, while Profile C utilizes lattice-based cryptography for quantum resistance.",learn,recall,developer;architect,intermediate;advanced,Global,Telecommunications,,,,,KEM;X25519,,,/algorithms?highlight=KEM;/algorithms?highlight=X25519;/learn/5g-security,algorithm:KEM IN algorithms_csv|algorithm:X25519 IN algorithms_csv,"Key Concepts, Workshop Activities"
5g-security-learn-003,5g-security,5G Security,Which algorithm is used for the MILENAGE authentication functions in 5G-AKA?,"The MILENAGE algorithm, defined in 3GPP TS 35.206, uses AES-128 as its underlying cryptographic primitive. It generates five functions (f1-f5) to produce MAC-A, XRES, CK, IK, and AK for mutual authentication.",learn,recall,developer;researcher,intermediate;advanced,Global,Telecommunications,,,,,,,,/learn/5g-security,,"Key Concepts, Related Standards"
5g-security-learn-004,5g-security,5G Security,How does SUCI concealment address the security vulnerabilities found in previous mobile network generations?,"SUCI encrypts the subscriber permanent identity (SUPI/IMSI) before transmission over the air interface. This prevents IMSI catcher surveillance attacks that were prevalent in 2G, 3G, and 4G networks where identities were transmitted in plaintext.",learn,comprehension,architect;ops;executive,intermediate;advanced,Global,Telecommunications,,,,,,,,/learn/5g-security,,"Key Concepts, Module Description"
5g-security-learn-005,5g-security,5G Security,Why is the MILENAGE algorithm considered quantum-resistant despite the vulnerabilities of SUCI concealment profiles A and B?,"MILENAGE relies on symmetric AES-128 encryption, which remains secure against quantum attacks because Grover's algorithm only halves the effective key length to 64 bits. In contrast, Profiles A and B use asymmetric ECDH, which is broken by Shor's algorithm.",learn,comprehension,researcher;architect,advanced,Global,Telecommunications,,,,,,,,/learn/5g-security,,"Key Concepts, Differential quantum vulnerability"
5g-security-learn-006,5g-security,5G Security,What is the specific role of the ANSI X9.63 Key Derivation Function in the SUCI construction pipeline?,"In the SUCI construction pipeline, the ANSI X9.63 KDF is used to derive encryption and MAC keys from the shared secret computed via ECDH or KEM encapsulation. These derived keys are then used to encrypt the MSIN with AES-CTR and compute the HMAC tag.",learn,comprehension,developer;architect,advanced,Global,Telecommunications,,,,,KEM,,,/algorithms?highlight=KEM;/learn/5g-security,algorithm:KEM IN algorithms_csv,"Key Concepts, SUCI construction pipeline"
5g-security-both-007,5g-security,5G Security,"If a network operator wants to migrate to a quantum-resistant SUCI profile, which specific algorithm and standard should they implement?","The operator should implement Profile C, which uses the ML-KEM-768 lattice-based Key Encapsulation Mechanism defined in FIPS 203. This profile supports both hybrid modes combining X25519 with ML-KEM and pure PQC modes.",both,application,architect;ops;executive,advanced,Global,Telecommunications,FIPS 203,,,,KEM;ML-KEM-768;X25519,,,/library?ref=FIPS%20203;/algorithms?highlight=KEM;/algorithms?highlight=ML-KEM-768;/algorithms?highlight=X25519;/learn/5g-security,library_ref:FIPS 203 EXISTS|algorithm:KEM IN algorithms_csv|algorithm:ML-KEM-768 IN algorithms_csv|algorithm:X25519 IN algorithms_csv,"Key Concepts, Profile C (ML-KEM), Related Standards"
5g-security-both-008,5g-security,5G Security,"During the SIM provisioning supply chain, how is the OPc parameter computed from the subscriber key K?","The OPc parameter is computed by applying the AES algorithm with the key K to the operator code OP, and then XORing the result with OP. This process occurs during USIM personalization in the factory HSM.",both,application,developer;ops,advanced,Global,Telecommunications,,,,,,,,/learn/5g-security,,"Key Concepts, SIM provisioning supply chain"
5g-security-both-009,5g-security,5G Security,How does the 5G key hierarchy derive the anchor key KAUSF from the authentication keys CK and IK?,"The anchor key KAUSF is derived from CK and IK using HMAC-SHA-256, bound to the Serving Network Name. This KAUSF then feeds into the subsequent derivation of KSEAF, KAMF, and radio layer keys like KgNB.",both,application,developer;architect,advanced,Global,Telecommunications,,,,,,,,/learn/5g-security,,"Key Concepts, 5G key hierarchy"
5g-security-both-010,5g-security,5G Security,Compare the public key sizes and integrity mechanisms between Profile A (X25519) and Profile C (ML-KEM) for SUCI concealment.,"Profile A uses 32-byte public keys with HMAC-SHA-256 for integrity, while Profile C uses significantly larger 1,184-byte public keys with HMAC-SHA3-256. Additionally, Profile C employs AES-256-CTR encryption compared to Profile A's AES-128-CTR.",both,synthesis,architect;researcher,advanced,Global,Telecommunications,,,,,KEM;X25519,,,/algorithms?highlight=KEM;/algorithms?highlight=X25519;/learn/5g-security,algorithm:KEM IN algorithms_csv|algorithm:X25519 IN algorithms_csv,"Key Concepts, Profile A (X25519), Profile C (ML-KEM)"
5g-security-both-011,5g-security,5G Security,Analyze the differential quantum vulnerability of the 5G security architecture: which components require immediate PQC migration and which do not?,"SUCI concealment requires immediate PQC migration because its asymmetric ECDH components (Profiles A/B) are broken by Shor's algorithm. Conversely, MILENAGE/5G-AKA and SIM provisioning remain quantum-resistant as they rely on symmetric AES encryption.",both,synthesis,executive;architect;researcher,advanced,Global,Telecommunications,,,,,,,,/learn/5g-security,,"Key Concepts, Differential quantum vulnerability"
5g-security-both-012,5g-security,5G Security,How does the integration of Profile C (ML-KEM) into the SUCI pipeline impact the overall message size and processing requirements compared to classical profiles?,"Integrating Profile C increases the SUCI message size significantly due to the 1,184-byte public keys compared to 32 or 65 bytes in Profiles A and B. This also necessitates higher computational resources for lattice-based KEM encapsulation and larger bandwidth for transmission.",both,synthesis,architect;ops;developer,advanced,Global,Telecommunications,,,,,KEM,,,/algorithms?highlight=KEM;/learn/5g-security,algorithm:KEM IN algorithms_csv,"Key Concepts, Profile C (ML-KEM), Workshop Activities"
5g-security-both-013,5g-security,5G Security,Synthesize the relationship between the 3GPP TR 33.841 study and the implementation of hybrid PQC modes in 5G networks.,"The 3GPP TR 33.841 study investigates PQC for 5G, leading to Profile C which supports hybrid modes combining X25519 with ML-KEM. This allows operators to maintain backward compatibility while incrementally adopting quantum-resistant algorithms.",both,synthesis,researcher;architect;executive,advanced,Global,Telecommunications,,,,,KEM;X25519,,,/algorithms?highlight=KEM;/algorithms?highlight=X25519;/learn/5g-security,algorithm:KEM IN algorithms_csv|algorithm:X25519 IN algorithms_csv,"Key Concepts, Profile C (ML-KEM), Related Standards"
5g-security-both-014,5g-security,5G Security,Evaluate the security implications of the SIM provisioning supply chain if the factory HSM generating the subscriber key K is compromised.,"If the factory HSM is compromised, the root subscriber key K and derived OPc values could be exposed, allowing attackers to clone USIMs or decrypt traffic. This undermines the entire 5G-AKA authentication flow since K is the root of trust for all subsequent keys.",both,synthesis,architect;ops;executive,advanced,Global,Telecommunications,,,,,,,,/learn/5g-security,,"Key Concepts, SIM provisioning supply chain"
