ref_id,source_name,category,source_type,pillar,maturity_level,asset_class,requirement,evidence_quote,evidence_location,source_url,confidence,extraction_model,extraction_date
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Technical Standards,NIST Standards,inventory,2,software,Maintain a documented list of all cryptographic components and their validation status to ensure only approved modules are deployed.,TRACKING THE COMPONENT VALIDATION LIST ... The vendor must maintain a list of the components used in the module and their validation status.,Section 2.4.B,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-24
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Technical Standards,NIST Standards,assurance,3,software,Implement continuous monitoring and logging of self-test failures to detect cryptographic module anomalies immediately.,"ERROR LOGGING ... The module must log the results of all self-tests. If a self-test fails, the module must log the failure and prevent further operation.",Section 10.3.D,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-24
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Technical Standards,NIST Standards,lifecycle,2,software,Establish a process for managing Common Vulnerabilities and Exposures (CVEs) affecting validated cryptographic modules.,CVE MANAGEMENT ... Vendors must have a process to manage CVEs that affect their validated modules and communicate updates to the CMVP.,Section 11.A,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-24
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Technical Standards,NIST Standards,governance,2,software,Define and document the security policy for each cryptographic module to ensure consistent implementation of approved functions.,CRYPTOGRAPHIC MODULE SECURITY POLICY ... The vendor must provide a security policy that describes the module's security requirements and how they are met.,Annex B,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-24
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Technical Standards,NIST Standards,observability,3,software,Configure modules to perform periodic self-tests and report results to ensure ongoing compliance with security requirements.,PERIODIC SELF-TESTING ... The module must perform periodic self-tests to verify the integrity of its cryptographic functions and report any failures.,Section 10.3.E,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-24
FIPS 203,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),Technical Standards,KEM,governance,2,all,Ensure overall implementation provides an acceptable level of security as determined by the responsible authority in each agency or department.,The responsible authority in each agency or department shall ensure that an overall implementation provides an acceptable level of security.,Section 13,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,high,qwen3.5:27b,2026-04-24
FIPS 203,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),Technical Standards,KEM,governance,2,software,Ensure that any module implementing key establishment capability is designed and built in a secure manner.,It is the responsibility of the implementer to ensure that any module that implements a key establishment capability is designed and built in a secure manner.,Section 13,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,high,qwen3.5:27b,2026-04-24
FIPS 203,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),Technical Standards,KEM,lifecycle,2,keys,"Guard against the disclosure of randomness used by parties, decapsulation keys, and shared secret keys to maintain security guarantees.","Users shall, therefore, guard against the disclosure of these values [randomness used by the two parties, the decapsulation key, and the shared secret key itself].",Section 13,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,high,qwen3.5:27b,2026-04-24
FIPS 203,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),Technical Standards,KEM,assurance,2,software,Employ cryptographic algorithms approved for protecting Federal Government-sensitive information in implementations complying with this standard.,Implementations that comply with this standard shall employ cryptographic algorithms that have been approved for protecting Federal Government-sensitive information.,Section 8,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,high,qwen3.5:27b,2026-04-24
FIPS 203,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),Technical Standards,KEM,assurance,2,software,Ensure exports of cryptographic modules implementing this standard comply with federal laws and are licensed by the Bureau of Industry and Security.,Exports of cryptographic modules that implement this standard and technical data regarding them must comply with all federal laws and regulations and be licensed by the Bureau of Industry and Security of the U.S. Department of Commerce.,Section 9,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,high,qwen3.5:27b,2026-04-24
