patent_number,title,inventors,assignee,priority_date,issue_date,cpc_codes,one_sentence_summary,primary_inventive_claim,crypto_agility_mode,migration_strategy,quantum_relevance,quantum_notes,protocols,classical_algorithms,pqc_algorithms,quantum_technology,key_management_ops,hardware_components,authentication_factors,standards_referenced,threat_model,entropy_source,primitive_types,application_domain,independent_claim_subjects,performance_claims,data_types_protected,compliance_targets,citation_graph,claim_dependencies,nist_round_status,pqc_migration_score,pqc_migration_reason
20260121841,SYSTEMS AND METHODS FOR HIGH-PERFORMANCE QUANTUM-SAFE KEY MANAGEMENT,,"JPMORGAN CHASE BANK, N.A.",2025-03-21,2026-04-30,H04L9/0852;H04L9/14;H04L9/3221,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Directly addresses PQC key management, a critical migration component for mitigating HNDL threats."
20260121827,LIGHTWEIGHT FAULT COUNTERMEASURE FOR POST-QUANTUM KEMS,,NXP B.V.,2025-10-27,2026-04-30,H04L9/004;H04L9/0618;H04L9/0891,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Directly addresses PQC KEM implementation security, critical for robust migration."
20260121867,KEY ROTATION AS LIGHTEIGHT COUNTERMEASURE AGAINST PHYSICAL ATTACKS ON FALCON,,NXP B.V.,2025-10-09,2026-04-30,H04L9/3247;H04L9/0891;H04L9/3093,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Directly addresses Falcon (NIST PQC) key rotation, a critical migration and lifecycle management strategy."
20260121834,LOW-COST MASKING FOR POST-QUANTUM CRYPTOGRAPHY,,"Microsoft Technology Licensing, LLC",2024-09-19,2026-04-30,H04L9/0631;H04L9/0852;H04L9/3006,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Directly addresses PQC implementation security via masking, critical for secure migration."
20260121853,System and method for establishing a quantum resistant temporal encryption and data aging communications protocol,,Bank of America Corporation,2024-10-15,2026-04-30,H04L9/0891;H04L9/0852;H04L63/0428;H04L63/068,,,,,,,,,,,,,,,,,,,,,,,,,,6,Title claims quantum resistance but lacks explicit NIST PQC algorithm references or hybrid scheme details.
12615148,Lattice-based public key cryptosystem and electronic device included in the same,,INSTITUTE FOR BASIC SCIENCE,2023-11-21,2026-04-28,H04L9/3093;H04L9/0894,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Lattice-based crypto aligns with NIST PQC standards (ML-KEM/DSA), directly relevant to migration."
12615140,Quantum safe enclaves,,"Amazon Technologies, Inc.",2021-12-10,2026-04-28,H04L9/0858;H04L63/0428;H04L63/164;H04L63/166,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Title implies PQC migration; CPC codes cover key management and secure enclaves, suggesting hybrid or agile crypto infra"
20260113205,Seamlessly Transitioning to Post-Quantum Cryptography (PQC) in Digital Certificate Management,,"DigiCert, Inc.",2024-10-16,2026-04-23,H04L9/3265;H04L9/3249,,,,,,,,,,,,,,,,,,,,,,,,,,10,"Directly addresses PQC migration in PKI/certificates, a critical high-relevance area."
20260111529,SYSTEMS AND METHODS FOR OPTIMIZING COMPONENT AUTHENTICATION CHECKS BASED ON INTRUSION DETECTION HISTORY,,Dell Products L.P.,2024-10-22,2026-04-23,G06F21/44;G06F21/554,,,,,,,,,,,,,,,,,,,,,,,,,,1,Focuses on classical intrusion detection and authentication optimization with no PQC relevance.
12608490,Tracking hash-based signatures in LMS and XMSS using a distributed ledger,,"DigiCert, Inc.",2024-05-29,2026-04-21,G06F21/602,,,,,,,,,,,,,,,,,,,,,,,,,,9,Directly addresses SLH-DSA (XMSS/LMS) migration via distributed ledger tracking for PKI agility.
12609817,Systems and methods for a quantum safe certificate ledger,,Nix; John A.,2024-01-09,2026-04-21,H04L9/0852;H04L9/3247;H04L9/3239;H04L9/3268;H04L9/50;H04L63/0823;H04L63/0861,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Directly addresses quantum-resistant PKI and certificate ledgers, a critical component of PQC migration infrastructure."
12603863,Hybrid cryptography virtual private networks,,UAB 360 IT,2024-05-02,2026-04-14,H04L63/0272;H04L63/029;H04L9/0618;H04L9/3073;H04L9/32,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Hybrid VPNs enable crypto agility for PQC migration, but title lacks explicit NIST PQC algorithm references."
20260095326,"POST-QUANTUM SECURE VOPRF PROTOCOL FOR POST-QUANTUM SECURITY, AND METHOD AND SYSTEM FOR ANONYMOUS TOKEN AUTHENTICATION",,SHANDONG UNIVERSITY,2024-09-25,2026-04-02,H04L9/3213;H04L9/3242;H04L9/3073;H04L9/3218,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Explicitly targets post-quantum security for VOPRF and token auth, indicating direct PQC migration relevance."
20260093774,APPROXIMATE COMPUTING DIGITAL CIRCUIT FOR POST-QUANTUM CRYPTOGRAPHY APPLICATIONS,,COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,2024-09-17,2026-04-02,G06F7/5443;G06F17/16;H03K19/20;H04L9/3093;H10D30/6711;H10D86/201,,,,,,,,,,,,,,,,,,,,,,,,,,6,Hardware acceleration for PQC is relevant but lacks explicit NIST algorithm or migration protocol details.
20260095311,Post-Quantum Hash Functions Using Higher Dimensional Special Linear Groups,,"Research Foundation of the City University of New York,Gent Universiteit,Rector and Visitors of the University of Virginia,University of York,Universidad de Sevilla",2024-09-23,2026-04-02,H04L9/0852;H04L9/3236;H04L9/3239;H04L9/50,,,,,,,,,,,,,,,,,,,,,,,,,,2,Proposes novel hash functions but lacks NIST standard alignment or migration relevance.
12592830,"Method, apparatus, and system for post-quantum electronic signature based on infinite hash function",,"INDUSTRY-ACADEMIC COOPERATION FOUNDATION, DANKOOK UNIVERSITY",2023-04-27,2026-03-31,H04L9/3247;H04L9/50;H04L9/0643;H04L9/30;H04L9/302;H04L9/3218,,,,,,,,,,,,,,,,,,,,,,,,,,4,Generic PQC signature focus lacks specific NIST standard references or migration protocols.
20260088970,Hybrid AI Failover and Secure Field-Data Capture System with Shadow-Mode Validation and Training-to-Inference Reassignment,Wright; Joshua A,Wright; Joshua A,2025-11-24,2026-03-26,H04L9/006;G06F11/2023;G06F11/2028;H04L9/50,,,hybrid,none,,,,,,,,,,,,,,,,,,,,,,,
