software_name,cert_type,cert_id,cert_vendor,cert_product,pqc_algorithms,certification_level,status,cert_date,cert_link
AWS Application Load Balancer (ALB),ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,Active,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997
AWS Application Load Balancer (ALB),ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,Active,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709
AWS Application Load Balancer (ALB),FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146
AWS CloudHSM,ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,Active,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997
AWS CloudHSM,ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,Active,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709
AWS CloudHSM,FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146
AWS Identity and Access Management (IAM),ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,Active,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997
AWS Identity and Access Management (IAM),ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,Active,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709
AWS Identity and Access Management (IAM),FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146
AWS KMS,ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,Active,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997
AWS KMS,ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,Active,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709
AWS KMS,FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146
AWS KMS (Cloud Gateway),ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,Active,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997
AWS KMS (Cloud Gateway),ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,Active,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709
AWS KMS (Cloud Gateway),FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146
AWS s2n-tls,ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,Active,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997
