ref_id,source_name,category,source_type,pillar,maturity_level,asset_class,requirement,evidence_quote,evidence_location,source_url,confidence,extraction_model,extraction_date
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,governance,2,all,"Establish documented security policies defining roles, services, and authentication for cryptographic modules as required by the standard.","The security requirements cover areas related to the secure design, implementation and operation of a cryptographic module. These areas include ... roles, services, and authentication...",Abstract,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,qwen3.5:27b,2026-04-24
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,governance,2,all,Ensure the responsible authority in each agency verifies that the security provided by a module is sufficient and acceptable to the information owner.,The responsible authority in each agency shall ensure that the security of the system is sufficient and acceptable.,Section 13,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,qwen3.5:27b,2026-04-24
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,governance,2,all,Acknowledge and accept any residual risk associated with the cryptographic module's security posture.,The operator of a cryptographic module is responsible for ensuring that the security provided by a module is sufficient and acceptable to the owner of the information that is being protected and that any residual risk is acknowledged and accepted.,Section 13,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,qwen3.5:27b,2026-04-24
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,assurance,3,all,"Utilize independent, accredited Cryptographic and Security Testing (CST) laboratories to validate cryptographic modules against FIPS 140-3.","In the CMVP, vendors of cryptographic modules use independent, accredited Cryptographic and Security Testing (CST) laboratories to have their modules tested.",Section 3,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,qwen3.5:27b,2026-04-24
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,assurance,3,all,"Employ only approved security functions, including algorithms and key management techniques, specified in FIPS or referenced NIST Special Publications.","Cryptographic modules that conform to this standard shall employ Approved security functions such as cryptographic algorithms, cryptographic key management techniques, and authentication techniques that have been approved for protecting Federal government sensitive information.",Section 10,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,qwen3.5:27b,2026-04-24
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,assurance,3,all,Submit test reports demonstrating compliance to the CMVP for review and validation prior to deployment.,A test report for modules demonstrating compliance will be submitted to the CMVP for review and validation.,Section 12,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,qwen3.5:27b,2026-04-24
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,lifecycle,2,all,Develop acquisition plans for FIPS 140-3 compliant products and avoid using the CMVP Historical list for procurement decisions.,"Agencies should develop plans for the acquisition of products that are compliant with FIPS 140-3; however, agencies may purchase any of the products on the CMVP validated modules list. (Note: the CMVP Historical list should not be used for procurement decisions.)",Section 12,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,qwen3.5:27b,2026-04-24
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,lifecycle,2,all,Review the standard at least every five years to consider necessary updates or replacement due to technological changes.,This standard will be reviewed at least every five years in order to consider necessary updates or replacement.,Section 13,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,qwen3.5:27b,2026-04-24
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Certification Schemes,Compliance/Guidance,assurance,3,all,"Identify embedded or bound validated modules by name, certificate number, and version in the Security Policy and test report.","The FIPS 140-3 IUT submission (e.g., Security Policy and validation test report) shall precisely identify the EVM by name, CMVP certificate number and version(s).","Section 1.A, Resolution 5",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-24
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Certification Schemes,Compliance/Guidance,assurance,3,all,Ensure the existing validated module (EVM) status is Active at the time of submission to the CMVP.,"The EVM status shall be Active (i.e., is not on the Historical or Revoked list) at the time of the IUT submission to the CMVP.","Section 1.A, Resolution 4d",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-24
